timestamp,class,prob
1761903789.7005224,hook,0.888
1761903791.0431795,hook,0.903
1761903792.3422945,hook,0.926
1761903793.592102,hook,0.919
1761903794.8121173,hook,0.906
1761903796.133329,hook,0.917
1761903797.4362414,hook,0.919
1761903798.6488545,hook,0.934
1761903799.8590372,hook,0.924
1761903801.1092298,hook,0.768
1761903804.974748,hook,0.754
1761903806.23,hook,0.902
1761903807.544231,hook,0.913
1761903808.8260038,hook,0.898
1761903810.1516101,hook,0.931
1761903811.5124342,hook,0.956
1761903812.8419795,hook,0.965
1761903814.126363,hook,0.962
1761903815.3907197,hook,0.945
1761903817.161961,uppercut,0.764
1761903819.5761104,hook,0.78
1761903821.851342,jab,0.779
1761903823.1199152,jab,0.76
1761903829.3754356,hook,0.773
1761903830.6631167,hook,0.901
1761903831.994074,hook,0.835
1761903835.5408318,hook,0.761
1761903836.8231058,hook,0.871
1761903838.115407,hook,0.839
1761903841.5002487,hook,0.754
1761903842.7692955,hook,0.918
1761903844.5622354,jab,0.767
1761903845.887167,jab,0.967
1761903847.1504886,jab,0.97
1761903848.444043,jab,0.968
1761903849.705575,jab,0.953
1761903852.1437159,hook,0.771
1761903853.3955035,hook,0.896
1761903854.6401198,hook,0.937
1761903855.9134295,hook,0.942
1761903857.2199636,hook,0.893
1761903858.4624562,hook,0.839
1761903859.687788,hook,0.954
1761903861.015699,hook,0.992
1761903862.215467,jab,0.772
1761903863.523233,jab,0.992
1761903864.794614,jab,0.997
1761903866.0602577,jab,0.997
1761903867.3351376,jab,0.992
1761903868.5918293,jab,0.993
1761903869.9275134,jab,0.995
1761903871.5648494,hook,0.769
1761903872.8626385,hook,0.914
1761903874.1569593,hook,0.752
1761903876.0970697,uppercut,0.792
1761903878.3545868,hook,0.778
1761903879.8018677,jab,0.784
1761903881.063878,jab,0.992
1761903884.7001927,uppercut,0.763
1761903885.9564712,uppercut,0.942
1761903887.3043876,uppercut,0.968
1761903888.6132498,uppercut,0.825
